,用户ID (User ID),用户行为 (User behaviour),博主ID (Blogger ID),时间 (Time),当前博主观看数,当前博主点赞数,当前博主评论数,当前博主关注数,当前博主互动数
752236,U9,1,B12,2024-07-14 20:33:13,11719,5696,2174,688,20277
752239,U9,2,B12,2024-07-14 20:33:13,11719,5697,2174,688,20278
753680,U9,2,B7,2024-07-14 20:41:34,13297,7941,2601,731,24570
753684,U9,1,B7,2024-07-14 20:41:34,13299,7942,2602,731,24574
753967,U9,2,B8,2024-07-14 20:43:26,5951,4104,1002,392,11449
753970,U9,1,B8,2024-07-14 20:43:26,5952,4104,1002,392,11450
766014,U9,1,B72,2024-07-14 21:44:59,10017,4870,1413,588,16888
766015,U9,2,B72,2024-07-14 21:44:59,10017,4871,1413,588,16889
766604,U9,2,B16,2024-07-14 21:48:02,6061,3796,1204,412,11473
766606,U9,1,B16,2024-07-14 21:48:02,6062,3796,1204,412,11474
769262,U9,1,B23,2024-07-14 22:01:34,12730,7346,2082,737,22895
769263,U9,3,B23,2024-07-14 22:01:34,12730,7346,2083,737,22896
769264,U9,2,B23,2024-07-14 22:01:34,12730,7347,2083,737,22897
771600,U48420,3,B6,2024-07-14 22:11:22,6928,3780,1083,416,12207
771601,U48420,1,B6,2024-07-14 22:11:22,6929,3780,1083,416,12208
771654,U48420,1,B3,2024-07-14 22:11:39,11881,6459,2203,808,21351
772068,U48420,1,B2,2024-07-14 22:13:20,14037,7351,2750,752,24890
772154,U48420,1,B5,2024-07-14 22:13:47,36516,23271,6255,1433,67475
773046,U48420,1,B4,2024-07-14 22:18:03,14365,7597,3069,875,25906
773048,U48420,3,B4,2024-07-14 22:18:03,14365,7597,3070,875,25907
773217,U48420,1,B76,2024-07-14 22:18:46,8323,4664,1316,580,14883
777334,U9,1,B24,2024-07-14 22:38:13,10804,6249,2022,500,19575
777335,U9,2,B24,2024-07-14 22:38:13,10804,6250,2022,500,19576
777336,U9,3,B24,2024-07-14 22:38:13,10804,6250,2023,500,19577
777337,U9,4,B24,2024-07-14 22:38:13,10804,6250,2023,501,19578
778352,U9,2,B21,2024-07-14 22:43:09,36948,20352,7009,1403,65712
778353,U9,1,B21,2024-07-14 22:43:09,36949,20352,7009,1403,65713
784346,U48420,2,B7,2024-07-14 23:09:24,13900,8304,2699,759,25662
784347,U48420,1,B7,2024-07-14 23:09:24,13901,8304,2699,759,25663
784349,U48420,3,B7,2024-07-14 23:09:24,13901,8304,2700,759,25664
784400,U9,2,B27,2024-07-14 23:09:36,5912,3302,1153,375,10742
784401,U9,3,B27,2024-07-14 23:09:36,5912,3302,1154,375,10743
784402,U9,1,B27,2024-07-14 23:09:36,5913,3302,1154,375,10744
784927,U48420,2,B13,2024-07-14 23:11:44,16408,9446,3101,931,29886
784928,U48420,1,B13,2024-07-14 23:11:44,16409,9446,3101,931,29887
786867,U48420,1,B63,2024-07-14 23:19:11,2214,1504,556,152,4426
786869,U48420,2,B63,2024-07-14 23:19:11,2214,1505,556,152,4427
794752,U9,1,B4,2024-07-14 23:53:15,14780,7817,3160,893,26650
799050,U9,1,B7,2024-07-15 00:11:21,14189,8481,2747,778,26195
799052,U9,2,B7,2024-07-15 00:11:21,14189,8482,2747,778,26196
799709,U9,1,B13,2024-07-15 00:13:59,16721,9630,3152,952,30455
799710,U9,2,B13,2024-07-15 00:13:59,16721,9631,3152,952,30456
804643,U9,1,B12,2024-07-15 00:36:28,12552,6111,2306,752,21721
805931,U9,1,B6,2024-07-15 00:42:33,7321,4016,1161,461,12959
826943,U22405,2,B59,2024-07-15 02:00:31,13250,8816,3968,403,26437
826951,U22405,1,B59,2024-07-15 02:00:31,13251,8816,3968,403,26438
827092,U22405,1,B44,2024-07-15 02:00:51,11378,7046,3004,662,22090
827340,U22405,2,B47,2024-07-15 02:01:26,10862,8267,2354,233,21716
827341,U22405,1,B47,2024-07-15 02:01:26,10863,8267,2354,233,21717
827743,U22405,2,B42,2024-07-15 02:02:32,8215,5386,2306,230,16137
827749,U22405,1,B42,2024-07-15 02:02:32,8216,5386,2306,230,16138
827993,U22405,1,B52,2024-07-15 02:03:18,7724,5526,1921,229,15400
827994,U22405,2,B52,2024-07-15 02:03:18,7724,5527,1921,229,15401
828430,U22405,1,B43,2024-07-15 02:04:23,5761,4127,1402,204,11494
828431,U22405,3,B43,2024-07-15 02:04:23,5761,4127,1403,204,11495
829036,U22405,1,B46,2024-07-15 02:05:53,3547,2480,974,104,7105
829038,U22405,2,B46,2024-07-15 02:05:53,3547,2481,974,104,7106
831671,U48420,2,B13,2024-07-15 02:12:40,17398,10024,3298,1019,31739
831674,U48420,1,B13,2024-07-15 02:12:40,17399,10024,3298,1019,31740
832407,U48420,2,B12,2024-07-15 02:15:09,12929,6329,2376,772,22406
832410,U48420,1,B12,2024-07-15 02:15:09,12930,6329,2376,772,22407
834280,U48420,3,B45,2024-07-15 02:20:39,11440,7817,3043,492,22792
834282,U48420,1,B45,2024-07-15 02:20:39,11442,7817,3043,492,22794
837765,U48420,1,B15,2024-07-15 02:31:56,29275,15333,6342,1209,52159
837766,U48420,2,B15,2024-07-15 02:31:56,29275,15334,6342,1209,52160
838172,U48420,2,B21,2024-07-15 02:33:37,39728,21860,7735,1517,70840
838173,U48420,1,B21,2024-07-15 02:33:37,39729,21860,7735,1517,70841
843984,U9,1,B25,2024-07-15 02:57:58,9153,6889,1406,512,17960
844875,U9,2,B23,2024-07-15 03:02:04,13990,8096,2307,826,25219
844876,U9,1,B23,2024-07-15 03:02:04,13991,8096,2307,826,25220
852436,U9,1,B6,2024-07-15 03:31:17,7873,4318,1245,484,13920
852440,U9,3,B6,2024-07-15 03:31:17,7873,4318,1246,484,13921
853559,U48420,2,B5,2024-07-15 03:36:18,40225,25639,7141,1676,74681
853560,U48420,1,B5,2024-07-15 03:36:18,40226,25639,7141,1676,74682
854318,U48420,2,B20,2024-07-15 03:40:45,14025,8996,3465,755,27241
854319,U48420,1,B20,2024-07-15 03:40:45,14026,8996,3465,755,27242
859379,U48420,3,B4,2024-07-15 04:12:17,15858,8406,3421,971,28656
859382,U48420,1,B4,2024-07-15 04:12:17,15859,8406,3421,971,28657
859383,U48420,2,B4,2024-07-15 04:12:17,15859,8407,3421,971,28658
860219,U48420,1,B2,2024-07-15 04:16:40,15650,8219,3125,848,27842
861080,U48420,3,B6,2024-07-15 04:21:15,7925,4346,1260,485,14016
861081,U48420,1,B6,2024-07-15 04:21:15,7926,4346,1260,485,14017
861854,U9,3,B13,2024-07-15 04:25:04,17971,10353,3448,1068,32840
861855,U9,2,B13,2024-07-15 04:25:04,17971,10354,3448,1068,32841
861856,U9,1,B13,2024-07-15 04:25:04,17972,10354,3448,1068,32842
864638,U48420,3,B26,2024-07-15 04:40:33,6927,3009,1226,472,11634
864639,U48420,1,B26,2024-07-15 04:40:33,6928,3009,1226,472,11635
865280,U48420,1,B19,2024-07-15 04:44:09,14384,8894,2767,624,26669
865281,U48420,3,B19,2024-07-15 04:44:09,14384,8894,2768,624,26670
866196,U48420,2,B76,2024-07-15 04:50:02,9155,5203,1443,639,16440
866198,U48420,1,B76,2024-07-15 04:50:02,9156,5203,1443,639,16441
874055,U48420,3,B34,2024-07-15 05:39:55,6205,3097,1279,488,11069
874056,U48420,1,B34,2024-07-15 05:39:55,6206,3097,1279,488,11070
874057,U48420,2,B34,2024-07-15 05:39:55,6206,3098,1279,488,11071
874283,U48420,1,B24,2024-07-15 05:41:47,11979,6918,2249,558,21704
874284,U48420,2,B24,2024-07-15 05:41:47,11979,6919,2249,558,21705
874683,U48420,1,B21,2024-07-15 05:44:44,41495,22793,8091,1579,73958
877841,U48420,1,B18,2024-07-15 06:12:53,16988,9761,2574,622,29945
877842,U48420,4,B18,2024-07-15 06:12:53,16988,9761,2574,623,29946
889287,U48420,1,B3,2024-07-15 11:13:34,13876,7554,2552,926,24908
889549,U48420,1,B27,2024-07-15 11:30:23,6744,3754,1326,440,12264
889550,U48420,3,B27,2024-07-15 11:30:23,6744,3754,1327,440,12265
889567,U48420,1,B21,2024-07-15 11:33:19,42301,23051,8144,1592,75088
889695,U48420,2,B20,2024-07-15 11:44:04,14837,9523,3654,795,28809
889696,U48420,1,B20,2024-07-15 11:44:04,14838,9523,3654,795,28810
889705,U48420,1,B18,2024-07-15 11:44:20,17294,9907,2606,643,30450
889730,U48420,1,B19,2024-07-15 11:46:12,14942,9256,2879,642,27719
889731,U48420,2,B19,2024-07-15 11:46:12,14942,9257,2879,642,27720
906411,U48420,3,B5,2024-07-15 15:19:18,42849,27219,7479,1758,79305
906415,U48420,1,B5,2024-07-15 15:19:18,42850,27219,7479,1758,79306
907302,U48420,3,B60,2024-07-15 15:22:07,16945,7120,3899,808,28772
907303,U48420,1,B60,2024-07-15 15:22:07,16946,7120,3899,808,28773
907389,U48420,1,B21,2024-07-15 15:22:16,42874,23326,8260,1621,76081
911313,U48420,1,B2,2024-07-15 15:36:04,16508,8611,3243,882,29244
911314,U48420,3,B2,2024-07-15 15:36:04,16508,8611,3244,882,29245
916902,U48420,4,B7,2024-07-15 15:57:09,16105,9501,3144,889,29639
916903,U48420,1,B7,2024-07-15 15:57:09,16106,9501,3144,889,29640
919385,U48420,1,B12,2024-07-15 16:04:48,14430,6942,2592,837,24801
919386,U48420,2,B12,2024-07-15 16:04:48,14430,6943,2592,837,24802
920586,U48420,1,B13,2024-07-15 16:07:52,19174,10994,3637,1125,34930
920587,U48420,2,B13,2024-07-15 16:07:52,19174,10995,3637,1125,34931
922371,U48420,2,B8,2024-07-15 16:12:43,7108,4902,1161,454,13625
922373,U48420,1,B8,2024-07-15 16:12:43,7109,4902,1161,454,13626
923037,U48420,2,B3,2024-07-15 16:14:59,14330,7799,2612,942,25683
923044,U48420,1,B3,2024-07-15 16:14:59,14331,7799,2612,942,25684
924834,U9,3,B13,2024-07-15 16:20:50,19261,11051,3658,1128,35098
924841,U9,1,B13,2024-07-15 16:20:50,19262,11051,3658,1128,35099
926879,U9,1,B8,2024-07-15 16:27:51,7158,4932,1177,456,13723
926880,U9,3,B8,2024-07-15 16:27:51,7158,4932,1178,456,13724
930117,U48420,1,B68,2024-07-15 16:37:21,4013,1338,714,248,6313
930118,U48420,3,B68,2024-07-15 16:37:21,4013,1338,715,248,6314
933671,U9,1,B68,2024-07-15 16:48:18,4024,1344,718,249,6335
936528,U48420,1,B15,2024-07-15 16:57:59,32982,17250,7177,1350,58759
936529,U48420,2,B15,2024-07-15 16:57:59,32982,17251,7177,1350,58760
937990,U48420,2,B25,2024-07-15 17:02:31,9970,7434,1520,561,19485
937992,U48420,1,B25,2024-07-15 17:02:31,9971,7434,1520,561,19486
939396,U48420,1,B23,2024-07-15 17:06:35,15463,8874,2586,920,27843
939400,U48420,2,B23,2024-07-15 17:06:35,15463,8875,2586,920,27844
941417,U48420,1,B6,2024-07-15 17:12:39,8318,4558,1338,520,14734
946549,U48420,1,B7,2024-07-15 17:37:45,16600,9828,3238,905,30571
946550,U48420,2,B7,2024-07-15 17:37:45,16600,9829,3238,905,30572
947083,U48420,1,B21,2024-07-15 17:40:30,44705,24442,8714,1721,79582
947086,U48420,2,B21,2024-07-15 17:40:30,44705,24443,8714,1721,79583
948073,U48420,2,B23,2024-07-15 17:44:56,15599,8959,2610,928,28096
948075,U48420,1,B23,2024-07-15 17:44:56,15600,8959,2610,928,28097
953042,U48420,3,B34,2024-07-15 18:02:51,6758,3346,1378,526,12008
953043,U48420,1,B34,2024-07-15 18:02:51,6759,3346,1378,526,12009
953634,U48420,1,B24,2024-07-15 18:04:55,13093,7525,2498,642,23758
953635,U48420,2,B24,2024-07-15 18:04:55,13093,7526,2498,642,23759
954080,U48420,2,B25,2024-07-15 18:06:13,10184,7602,1544,573,19903
954084,U48420,1,B25,2024-07-15 18:06:13,10185,7602,1544,573,19904
955368,U48420,1,B17,2024-07-15 18:10:21,10456,7359,2748,434,20997
956271,U48420,1,B10,2024-07-15 18:13:32,8779,6708,1778,294,17559
956272,U48420,2,B10,2024-07-15 18:13:32,8779,6709,1778,294,17560
956815,U48420,1,B35,2024-07-15 18:15:27,5529,4093,1273,241,11136
956816,U48420,2,B35,2024-07-15 18:15:27,5529,4094,1273,241,11137
962522,U48420,4,B43,2024-07-15 18:37:31,6772,4845,1639,239,13495
962523,U48420,3,B43,2024-07-15 18:37:31,6772,4845,1640,239,13496
962525,U48420,1,B43,2024-07-15 18:37:31,6773,4845,1640,239,13497
962709,U48420,2,B52,2024-07-15 18:38:15,9061,6472,2250,259,18042
962717,U48420,1,B52,2024-07-15 18:38:15,9062,6472,2250,259,18043
962922,U48420,2,B42,2024-07-15 18:38:59,9672,6342,2650,267,18931
962929,U48420,1,B42,2024-07-15 18:38:59,9673,6342,2650,267,18932
963172,U48420,1,B47,2024-07-15 18:39:51,12739,9474,2915,312,25440
963173,U48420,2,B47,2024-07-15 18:39:51,12739,9475,2915,312,25441
963351,U48420,1,B44,2024-07-15 18:40:37,13470,8372,3446,750,26038
963352,U48420,2,B44,2024-07-15 18:40:37,13470,8373,3446,750,26039
963467,U48420,1,B59,2024-07-15 18:41:01,15675,10550,4580,471,31276
963468,U48420,2,B59,2024-07-15 18:41:01,15675,10551,4580,471,31277
963960,U48420,1,B45,2024-07-15 18:43:10,13282,9133,3436,551,26402
963961,U48420,3,B45,2024-07-15 18:43:10,13282,9133,3437,551,26403
965274,U48420,1,B13,2024-07-15 18:48:47,20108,11574,3837,1182,36701
965275,U48420,2,B13,2024-07-15 18:48:47,20108,11575,3837,1182,36702
966261,U48420,1,B8,2024-07-15 18:52:59,7477,5168,1242,473,14360
966265,U48420,2,B8,2024-07-15 18:52:59,7477,5169,1242,473,14361
966493,U48420,1,B3,2024-07-15 18:53:55,14843,8133,2717,968,26661
970453,U48420,2,B72,2024-07-15 19:09:14,12376,6006,1793,742,20917
970454,U48420,1,B72,2024-07-15 19:09:14,12377,6006,1793,742,20918
971982,U48420,2,B15,2024-07-15 19:14:45,34073,17809,7438,1391,60711
971984,U48420,1,B15,2024-07-15 19:14:45,34074,17809,7438,1391,60712
972904,U48420,1,B60,2024-07-15 19:17:54,17620,7398,4087,852,29957
973051,U48420,2,B5,2024-07-15 19:18:28,45718,29193,8045,1877,84833
973053,U48420,1,B5,2024-07-15 19:18:28,45719,29193,8045,1877,84834
973823,U48420,1,B2,2024-07-15 19:21:08,17600,9198,3461,928,31187
973826,U48420,3,B2,2024-07-15 19:21:08,17600,9198,3462,928,31188
974439,U48420,1,B6,2024-07-15 19:23:17,8760,4831,1395,542,15528
1008712,U48420,2,B5,2024-07-15 22:05:10,47381,30362,8338,1943,88024
1008713,U48420,1,B5,2024-07-15 22:05:10,47382,30362,8338,1943,88025
1009307,U48420,1,B2,2024-07-15 22:07:50,18394,9643,3622,955,32614
1009308,U48420,3,B2,2024-07-15 22:07:50,18394,9643,3623,955,32615
1010120,U48420,1,B21,2024-07-15 22:11:09,47476,26067,9290,1822,84655
1010725,U48420,3,B60,2024-07-15 22:13:18,18542,7704,4323,890,31459
1010726,U48420,1,B60,2024-07-15 22:13:18,18543,7704,4323,890,31460
1011879,U48420,1,B3,2024-07-15 22:17:27,15927,8736,2857,1032,28552
1067567,U48420,1,B6,2024-07-16 02:00:55,10020,5491,1532,599,17642
1071796,U22405,1,B59,2024-07-16 02:11:58,17439,11884,4970,509,34802
1071797,U22405,2,B59,2024-07-16 02:11:58,17439,11885,4970,509,34803
1072246,U22405,4,B44,2024-07-16 02:13:26,14987,9123,3837,843,28790
1072247,U22405,1,B44,2024-07-16 02:13:26,14988,9123,3837,843,28791
1072419,U22405,1,B47,2024-07-16 02:14:05,14194,10247,3576,355,28372
1072420,U22405,2,B47,2024-07-16 02:14:05,14194,10248,3576,355,28373
1072611,U22405,1,B42,2024-07-16 02:14:43,10938,7115,2961,299,21313
1072614,U22405,2,B42,2024-07-16 02:14:43,10938,7116,2961,299,21314
1072854,U22405,2,B52,2024-07-16 02:15:27,10176,7220,2579,294,20269
1072856,U22405,1,B52,2024-07-16 02:15:27,10177,7220,2579,294,20270
1073042,U22405,1,B43,2024-07-16 02:16:07,7582,5395,1849,273,15099
1073048,U22405,2,B43,2024-07-16 02:16:07,7582,5396,1849,273,15100
1073537,U22405,2,B46,2024-07-16 02:17:48,4607,3228,1256,132,9223
1073538,U22405,1,B46,2024-07-16 02:17:48,4608,3228,1256,132,9224
1074595,U48420,1,B5,2024-07-16 02:22:12,50314,32356,8967,2075,93712
1074598,U48420,2,B5,2024-07-16 02:22:12,50314,32357,8967,2075,93713
1074995,U48420,1,B21,2024-07-16 02:24:22,50278,27698,9951,1964,89891
1074996,U48420,2,B21,2024-07-16 02:24:22,50278,27699,9951,1964,89892
1167417,U9,2,B23,2024-07-16 15:58:39,18969,10798,3131,1107,34005
1167418,U9,1,B23,2024-07-16 15:58:39,18970,10798,3131,1107,34006
1170522,U9,4,B4,2024-07-16 16:05:17,21349,11164,4525,1280,38318
1170529,U9,1,B4,2024-07-16 16:05:17,21350,11164,4525,1280,38319
1172304,U9,1,B13,2024-07-16 16:08:50,24337,13899,4626,1415,44277
1179667,U9,3,B8,2024-07-16 16:24:04,9111,6285,1530,551,17477
1179670,U9,2,B8,2024-07-16 16:24:04,9111,6286,1530,551,17478
1179671,U9,1,B8,2024-07-16 16:24:04,9112,6286,1530,551,17479
1180599,U9,2,B3,2024-07-16 16:26:15,19381,10480,3349,1206,34416
1180600,U9,1,B3,2024-07-16 16:26:15,19382,10480,3349,1206,34417
1184862,U22405,1,B43,2024-07-16 16:44:01,8457,6040,2033,302,16832
1184863,U22405,2,B43,2024-07-16 16:44:01,8457,6041,2033,302,16833
1184975,U22405,1,B52,2024-07-16 16:44:36,11349,8089,2826,322,22586
1185114,U22405,1,B42,2024-07-16 16:45:18,12007,7802,3243,321,23373
1185115,U22405,2,B42,2024-07-16 16:45:18,12007,7803,3243,321,23374
1185251,U22405,2,B47,2024-07-16 16:45:55,15573,11132,4036,400,31141
1185252,U22405,1,B47,2024-07-16 16:45:55,15574,11132,4036,400,31142
1185385,U22405,1,B44,2024-07-16 16:46:31,16566,10022,4224,920,31732
1185388,U22405,2,B44,2024-07-16 16:46:31,16566,10023,4224,920,31733
1185503,U22405,2,B59,2024-07-16 16:46:59,19379,13399,5313,551,38642
1185504,U22405,1,B59,2024-07-16 16:46:59,19380,13399,5313,551,38643
1223122,U48420,1,B23,2024-07-16 19:56:40,19810,11326,3264,1153,35553
1223123,U48420,2,B23,2024-07-16 19:56:40,19810,11327,3264,1153,35554
1223574,U48420,1,B24,2024-07-16 19:58:51,16365,9413,3088,767,29633
1223575,U48420,3,B24,2024-07-16 19:58:51,16365,9413,3089,767,29634
1227230,U48420,3,B15,2024-07-16 20:15:03,43041,22406,9547,1790,76784
1227232,U48420,1,B15,2024-07-16 20:15:03,43042,22406,9547,1790,76785
1227835,U48420,3,B21,2024-07-16 20:17:47,57551,32279,11643,2340,103813
1227836,U48420,1,B21,2024-07-16 20:17:47,57552,32279,11643,2340,103814
1228924,U48420,1,B76,2024-07-16 20:23:19,12891,7276,1956,846,22969
1240861,U48420,1,B13,2024-07-16 21:41:32,25787,14818,4862,1520,46987
1240864,U48420,3,B13,2024-07-16 21:41:32,25788,14819,4863,1520,46990
1241342,U48420,1,B15,2024-07-16 21:44:02,43588,22685,9676,1810,77759
1241345,U48420,2,B15,2024-07-16 21:44:02,43588,22686,9676,1810,77760
1243083,U48420,3,B21,2024-07-16 21:52:24,58311,32743,11831,2358,105243
1243084,U48420,4,B21,2024-07-16 21:52:24,58311,32743,11831,2359,105244
1243085,U48420,1,B21,2024-07-16 21:52:24,58312,32743,11831,2359,105245
1243564,U48420,2,B23,2024-07-16 21:54:56,20154,11522,3320,1169,36165
1243565,U48420,1,B23,2024-07-16 21:54:56,20155,11522,3320,1169,36166
1243915,U16,1,B4,2024-07-16 21:56:24,22746,11902,4814,1359,40821
1244000,U16,1,B3,2024-07-16 21:56:51,20602,11336,3581,1277,36796
1244435,U16,2,B2,2024-07-16 21:59:23,22806,12054,4459,1165,40484
1244436,U16,1,B2,2024-07-16 21:59:23,22807,12054,4459,1165,40485
1246838,U16,2,B24,2024-07-16 22:11:24,16674,9582,3150,796,30202
1246841,U16,1,B24,2024-07-16 22:11:24,16675,9582,3150,796,30203
1247428,U48420,4,B4,2024-07-16 22:15:11,22816,11939,4824,1363,40942
1247431,U48420,1,B4,2024-07-16 22:15:11,22817,11939,4824,1363,40943
1247433,U48420,2,B4,2024-07-16 22:15:11,22817,11940,4824,1363,40944
1247434,U48420,3,B4,2024-07-16 22:15:11,22817,11940,4825,1363,40945
1247631,U48420,2,B5,2024-07-16 22:16:29,58766,38159,10531,2417,109873
1247632,U48420,1,B5,2024-07-16 22:16:29,58767,38159,10531,2417,109874
1248287,U16,3,B13,2024-07-16 22:20:43,25959,14928,4892,1529,47308
1248288,U16,1,B13,2024-07-16 22:20:43,25960,14928,4892,1529,47309
1254076,U9,1,B22,2024-07-16 22:46:19,2615,1293,489,243,4640
1254420,U48420,1,B15,2024-07-16 22:47:31,44064,22932,9781,1824,78601
1255163,U9,1,B8,2024-07-16 22:50:08,9911,6886,1676,606,19079
1255253,U48420,2,B25,2024-07-16 22:50:25,13035,9649,1999,740,25423
1255258,U48420,1,B25,2024-07-16 22:50:25,13036,9649,1999,740,25424
1256388,U9,1,B2,2024-07-16 22:54:19,23050,12180,4508,1176,40914
1256390,U9,2,B2,2024-07-16 22:54:19,23050,12181,4508,1176,40915
1256650,U9,1,B4,2024-07-16 22:55:18,22989,12045,4855,1371,41260
1257394,U9,1,B24,2024-07-16 22:57:54,16816,9665,3175,800,30456
1258647,U48420,1,B7,2024-07-16 23:02:31,22066,13087,4244,1206,40603
1258649,U48420,2,B7,2024-07-16 23:02:31,22066,13088,4244,1206,40604
1258985,U48420,1,B27,2024-07-16 23:03:36,9182,5061,1782,596,16621
1260039,U9,1,B3,2024-07-16 23:07:11,20937,11547,3630,1297,37411
1260749,U48420,1,B6,2024-07-16 23:09:53,11282,6107,1702,681,19772
1260923,U48420,1,B3,2024-07-16 23:10:31,20966,11564,3634,1298,37462
1261504,U48420,1,B2,2024-07-16 23:12:45,23167,12250,4521,1181,41119
1261505,U48420,2,B2,2024-07-16 23:12:45,23167,12251,4521,1181,41120
1261706,U48420,2,B5,2024-07-16 23:13:38,59412,38610,10667,2429,111118
1261709,U48420,1,B5,2024-07-16 23:13:38,59413,38610,10667,2429,111119
1263229,U9,1,B27,2024-07-16 23:20:43,9224,5082,1790,600,16696
1263231,U9,3,B27,2024-07-16 23:20:43,9224,5082,1791,600,16697
1263581,U9,1,B7,2024-07-16 23:22:10,22156,13140,4255,1214,40765
1267854,U48420,4,B24,2024-07-16 23:43:11,16972,9766,3194,813,30745
1267855,U48420,1,B24,2024-07-16 23:43:11,16973,9766,3194,813,30746
1268064,U48420,1,B23,2024-07-16 23:44:17,20596,11782,3378,1189,36945
1273508,U48420,1,B53,2024-07-17 00:05:49,2283,1452,584,174,4493
1273510,U48420,2,B53,2024-07-17 00:05:49,2283,1453,584,174,4494
1280053,U9,3,B76,2024-07-17 00:32:52,13437,7607,2037,880,23961
1280056,U9,1,B76,2024-07-17 00:32:52,13438,7607,2037,880,23962
1280057,U9,2,B76,2024-07-17 00:32:52,13438,7608,2037,880,23963
1283578,U48420,1,B3,2024-07-17 00:48:43,21377,11802,3678,1316,38173
1284584,U48420,1,B2,2024-07-17 00:52:24,23634,12501,4602,1207,41944
1284585,U48420,2,B2,2024-07-17 00:52:24,23634,12502,4602,1207,41945
1284768,U48420,2,B5,2024-07-17 00:53:13,60398,39302,10819,2467,112986
1284770,U48420,1,B5,2024-07-17 00:53:13,60399,39302,10819,2467,112987
1285218,U48420,1,B4,2024-07-17 00:54:48,23530,12338,4974,1409,42251
1303316,U22405,2,B59,2024-07-17 01:51:58,21149,14627,5772,651,42199
1303317,U22405,1,B59,2024-07-17 01:51:58,21150,14627,5772,651,42200
1303544,U22405,1,B44,2024-07-17 01:52:29,18173,11090,4597,986,34846
1303545,U22405,2,B44,2024-07-17 01:52:29,18173,11091,4597,986,34847
1303732,U22405,2,B47,2024-07-17 01:53:01,17188,12428,4342,432,34390
1303733,U22405,1,B47,2024-07-17 01:53:01,17189,12428,4342,432,34391
1304131,U22405,2,B42,2024-07-17 01:54:02,13215,8653,3533,357,25758
1304134,U22405,1,B42,2024-07-17 01:54:02,13216,8653,3533,357,25759
1304510,U22405,1,B52,2024-07-17 01:54:47,12382,8809,3113,368,24672
1304511,U22405,2,B52,2024-07-17 01:54:47,12382,8810,3113,368,24673
1305416,U22405,1,B46,2024-07-17 01:57:11,5580,3920,1503,153,11156
1305417,U22405,2,B46,2024-07-17 01:57:11,5580,3921,1503,153,11157
1321817,U48420,2,B3,2024-07-17 02:42:53,22027,12178,3815,1375,39395
1321820,U48420,1,B3,2024-07-17 02:42:53,22028,12178,3816,1375,39397
1322747,U48420,2,B2,2024-07-17 02:45:40,24302,12867,4774,1234,43177
1322751,U48420,1,B2,2024-07-17 02:45:40,24303,12867,4774,1234,43178
1323029,U48420,2,B5,2024-07-17 02:46:29,62116,40424,11481,2671,116692
1323030,U48420,1,B5,2024-07-17 02:46:29,62117,40424,11481,2671,116693
1324195,U48420,2,B4,2024-07-17 02:49:56,24231,12735,5130,1435,43531
1324196,U48420,1,B4,2024-07-17 02:49:56,24232,12735,5130,1435,43532
1331604,U48420,4,B60,2024-07-17 03:16:12,26451,10612,6210,1313,44586
1331607,U48420,1,B60,2024-07-17 03:16:12,26452,10612,6210,1313,44587
1331709,U48420,2,B21,2024-07-17 03:16:44,62299,35101,12892,2543,112835
1331713,U48420,1,B21,2024-07-17 03:16:44,62301,35101,12893,2543,112838
1331917,U48420,1,B15,2024-07-17 03:17:37,46497,24201,10413,2005,83116
1335878,U48420,2,B15,2024-07-17 03:40:02,46626,24282,10438,2008,83354
1335881,U48420,1,B15,2024-07-17 03:40:02,46627,24282,10438,2008,83355
1336231,U48420,2,B21,2024-07-17 03:41:45,62524,35254,12933,2549,113260
1336232,U48420,1,B21,2024-07-17 03:41:45,62525,35254,12933,2549,113261
1336883,U48420,3,B5,2024-07-17 03:44:52,62780,40899,11610,2725,118014
1336885,U48420,1,B5,2024-07-17 03:44:52,62781,40899,11610,2725,118015
1337664,U48420,1,B2,2024-07-17 03:48:15,24573,13022,4822,1243,43660
1337665,U48420,3,B2,2024-07-17 03:48:15,24573,13022,4823,1243,43661
1338266,U48420,3,B3,2024-07-17 03:50:52,22467,12436,3879,1392,40174
1338267,U48420,1,B3,2024-07-17 03:50:52,22468,12436,3879,1392,40175
1390060,U48420,1,B2,2024-07-17 15:30:20,25554,13435,4970,1285,45244
1390063,U48420,2,B2,2024-07-17 15:30:20,25554,13436,4970,1285,45245
1390258,U48420,2,B5,2024-07-17 15:31:07,65804,43001,11997,2799,123601
1390259,U48420,1,B5,2024-07-17 15:31:07,65805,43001,11997,2799,123602
1390413,U48420,1,B60,2024-07-17 15:31:53,29211,11581,6806,1400,48998
1390533,U48420,1,B21,2024-07-17 15:32:14,65615,37173,13406,2641,118835
1390537,U48420,2,B21,2024-07-17 15:32:14,65617,37175,13406,2641,118839
1390879,U48420,1,B15,2024-07-17 15:33:25,48945,25459,10851,2082,87337
1390884,U48420,2,B15,2024-07-17 15:33:25,48946,25461,10851,2082,87340
1394857,U48420,4,B17,2024-07-17 15:47:29,15010,10694,3837,598,30139
1394860,U48420,1,B17,2024-07-17 15:47:29,15011,10694,3837,598,30140
1405270,U48420,3,B20,2024-07-17 16:21:50,23257,14845,5577,1228,44907
1405271,U48420,1,B20,2024-07-17 16:21:50,23258,14845,5577,1228,44908
1405437,U48420,2,B18,2024-07-17 16:22:33,27288,15785,4249,1031,48353
